face,sides,joins,angle,vector
0,6,"[1, 2]","[0.0, 90.0, 90.0]","[-0.0015932678, -0.84401673, 0.28376323]"
1,4,"[0, 2]","[90.0, 90.0, 60.0]","[-0.06345246, 0.40984714, 0.41822842]"
2,4,"[0, 1]","[90.0, 90.0, 60.0]","[0.68088746, 0.35246438, 0.2139623]"
